Sentence #,Word,POS,Tag
,dabboti,NP,
,baynna,VC,
,woykko,CJ,
,tukkiyassinne,NC,
,tukkiya,ADJCP,
,tociyassi,NP,
,de7iyagaa,VC,
,mala,ADJ,
,gaytotetti,VC,
,de7iyaaba,VC,
,gidenna,VV,
,dere,ADJ,
,assay,NP,
,hachchi,ADV,
,hachchi,ADV,
,oosuwa,NN,
,oluwassi,VC,
,issibaa,NN,
,harabaappe,NP,
,shaakkanawu,VI,
,go7ettiyooba,VV,
,.,PUN,
,..,..,
Sentence: 12,Issi,ADJ,
,hilla,NN,
,oosuwara,NP,
,gattiyaabati,VC,
,kaha,NN,
,giddon,POP,
,ka7ida,NN,
,eraaninne,NC,
,bilaa,NN,
,luxettaappe,NP,
,simmidi,ADV,
,yiyaaba,VV,
,gidiyo,ADJCP,
,gishshawu,CJ,
,kushe-hiillaara,NP,
,gayttiya,VC,
,sunttaynne,NC,
,sunttay,NP,
,qonccissiyobawu,VC,
,guuxxikkonne,VC,
,dabboti,NP,
,de7iyoogaa,NV,
,qonccissees,VV,
,.,PUN,
,..,..,
Sentence: 13,Hegaa-gishshawu,ADV,
,deretettay,NP,
,ba,ADJ,
,hachchi,ADV,
,hachchi,ADV,
,oosuwa,NN,
,polanawu,VI,
,adussa,ADJ,
,wodiyappe,NP,
,doommidi,VC,
,de7iya,RV,
,allaallee,NN,
,sunttawunne,NC,
,sunttettiyaabaa,VC,
,akeekana,VC,
,bessiyogaa,ADV,
,qonccissees,VV,
,.,PUN,
,..,..,
Sentence: 14,Ha,ADJ,
,bolla,POP,
,baggaara,NP,
,qonccissidoogaadan,VC,
,deretettaa,NN,
,assay,NP,
,hachchi,ADV,
,hachchi,ADV,
,poliyo,VC,
,duussaa,NN,
,giddon,POP,
,adussa,ADJ,
,wodiya,NN,
,go7ettiyo,VC,
,de7iyabaannee,VC,
,sinttawukka,ADV,
,meezetidi,VC,
,go7ettiyobaa,RV,
,sunttiidi,VC,
,gartte,NN,
,gidin,ADV,
,nu,ADJ,
,doonan,NP,
,birshidi,VC,
,go7ettiyoba,VC,
,gidinkka,ADV,
,daro,ADV,
,naagettidi,VC,
,Sunttaa,NN,
,immana,VC,
,bessees,VV,
,.,PUN,
,..,..,
Sentence: 15,Hegee,PP,
,doonaa,NN,
,go7ettoyo,VC,
,ogiyaa,NN,
,kawushshanne,NC,
,qanttan,ADJCP,
,go7ettanawu,VI,
,maaddiyoogaa,VC,
,bolli,POP,
,qaalaa,NN,
,hanenna,ADJ,
,ogiyan,NP,
,garxxiyoogaakka,NP,
,teqqees,VV,
,.,PUN,
,..,..,
Sentence: 16,Nu,ADJ,
,biittan,NP,
,haasayettida,NP,
,hayyo,ADJ,
,xaafoy,NP,
,issi,AN,
,ooso,NN,
,hiilladan,NP,
,pilggettiyoogaa,NN,
,doommidoy,VC,
,1970,AN,
,Maarotetta,NN,
,Layttaappe,NP,
,doommidi,VC,
,gidiyoogaa,NN,
,hayday,NP,
,qonccissees,VV,
,.,PUN,
,..,..,
Sentence: 17,Ha,ADJ,
,ooso-hiillaa,NN,
,Sunttaa,NN,
,tishshatettan,NP,
,xeelliyoogaa,VV,
,doommidoogee,VC,
,hegaappe,ADV,
,simmiina,VV,
,.,PUN,
,..,..,
Sentence: 18,Nu,ADJ,
,biittan,NP,
,ha,ADJ,
,ooso,NN,
,sunttay,NP,
,xeesettiyo,VC,
,issi,AN,
,buzo,ADJ,
,sunttay,NP,
,baynnaagan,VC,
,ha,PP,
,tishshissidi,NP,
,Sunttaa,NN,
,go7ettiya,VC,
,biittatun,NP,
,ayba,WHP,
,giidi,VC,
,xeesettiyaakkonne,VC,
,loohissoy,NP,
,imettibeennaagan,VC,
,ba,ADJ,
,buzo,ADJ,
,dendduwan,NP,
,dumma,ADJ,
,dumma,ADJ,
,maxaafaanne,NC,
,qaalaa,ADJ,
,kochchaa,NN,
,naabbabidi,VC,
,pokilloree,NN,
,aybee,WHP,
,giyaagaanee,VC,
,ba,ADJ,
,giddon,POP,
,oyqqiyoobay,VC,
,aybee,WHP,
,giidi,VC,
,qoppiyoogee,NV,
,doomettiis,VV,
,.,PUN,
,..,..,
Sentence: 19,Ha,ADJ,
,oosuwa,NN,
,hiillaa,NN,
,sunttiyoogeekkaa,NP,
,doomettiis,VV,
,.,PUN,
,..,..,
Sentence: 20,Pokiloori,NP,
,giya,ADJ,
,Engilizetto,ADJ,
,qaalaa,NN,
,birshshiiddi,VC,
,",",PUN,
,imottaa,NN,
,",",PUN,
,meeziyaa,NN,
,",",PUN,
,luxettaa,NN,
,",",PUN,
,wogetaa,NN,
,",",PUN,
,haydaa,NN,
,",",PUN,
,goynuwa,NN,
,",",PUN,
,maaraa,NN,
,mankka,NN,
,mayzzappe,NP,
,doommidi,VC,
,pinniiddi,VC,
,pinniiddi,VC,
,doonaa,NN,
,hasaya,NN,
,xaallan,ADV,
,yiidaba,RV,
,giyaa,VC,
,birshshettaa,NN,
,oykkidoogee,NV,
,qoncciss,VV,
,.,PUN,
,..,..,
Sentence: 21,Aara,ADJ,
,tukkiya,NN,
,hayttay,NP,
,tukkiya,NN,
,essanawu,ADV,
,go77ees,VV,
,.,PUN,
,..,..,
Sentence: 22,Doonay,NP,
,dumma,ADJ,
,dumma,ADJ,
,biittatun,NP,
,haasayettida,VC,
,daro,ADJ,
,diccida,NV,
,doonaa,NN,
,gidinkka,ADV,
,ubbawu,ADJCP,
,issi,AN,
,eeshshay,NP,
,de7ees,VV,
,.,PUN,
,..,..,
Sentence: 23,Ayssi-giikko,CJ,
,doonay,NP,
,ba,ADJ,
,immyo,VC,
,haggaazan,NP,
,issoy,PP,
,haraappe,PPC,
,dummatiyo,VC,
,hanoti,NP,
,baynna,ADV,
,gishshawu,CJ,
,.,PUN,
,..,..,
Sentence: 24,Nu,ADJ,
,Toophiyaankka,NP,
,hosppun,AN,
,tammaappe,AN,
,dariya,ADJ,
,doonati,NP,
,de7oosona,VV,
,.,PUN,
,..,..,
Sentence: 25,Salo,ADJ,
,gufantton,NP,
,de7iya,VC,
,doonata,NN,
,ubbaa,ADJ,
,issi-mala,ADJ,
,oottiya,NN,
,gita,ADJ,
,eeshshati,NP,
,de7oosona,VV,
,.,PUN,
,..,..,
Sentence: 26,Hegaadan,POP,
,doonati,NN,
,akeekan,ADV,
,xeelliyo,VC,
,wode,ADV,
,doonatettaan,NP,
,bantta,ADJ,
,giddon,POP,
,milatiyo,VC,
,kotta,ADJ,
,eeshshati,NP,
,kaalli,VC,
,uttidaageeta,VV,
,.,PUN,
,..,..,
Sentence: 27,Intte,ADJ,
,Yunbburssiya,NN,
,tamaareti,NP,
,intte,PP,
,tamaaro,VC,
,oosuwa,NN,
,poluwan,NP,
,hachchi,ADV,
,hachchi,ADV,
,dumma,ADJ,
,dumma,ADJ,
,miishshata,NN,
,nabbabiiddi,VC,
,xeelliiddi,VC,
,",",PUN,
,pilggiiddinne,VC,
,wochchiiddi,VC,
,pe7eeta,VV,
,.,PUN,
,..,..,
Sentence: 28,Hegeetuppekka,PP,
,amaridaageeti,NP,
,tamaariyo,VC,
,maxaafaa,NN,
,Nabbabiyogaa,NV,
,",",PUN,
,Xombbe,ADJ,
,maxaafaa,NN,
,nabbabiyogaa,NV,
,",",PUN,
,gaazeexaa,NN,
,",",PUN,
,metseetiya,NN,
,",",PUN,
,peeshsha,NN,
,hanota,ADJ,
,xuufeta,NN,
,",",PUN,
,galla,ADV,
,galla,ADV,
,oosuwa,NN,
,pirogiraametanne,NC,
,qantta,ADJ,
,naqaasha,NN,
,woraqatata,NN,
,shiishshi,VC,
,oyqqoosona,VV,
,gaanawu,VI,
,danddayettees,VV,
,.,PUN,
,..,..,
Sentence: 29,Ay,WHP,
,oosossi,NP,
,gidinkka,ADV,
,issi,ADJ,
,uri,NN,
,oottanaappe,VC,
,kasetidi,ADV,
,he,ADJ,
,oosuwa,NN,
,poli,VC,
,simmin,ADV,
,aybi,WHP,
,beettanee,VI,
,giyogaa,NV,
,qoppennan,ADV,
,qaaxxenna,VV,
,.,PUN,
,..,..,
Sentence: 30,Hegaadankka,ADV,
,issi,ADJ,
,xuufiya,NN,
,nabbabanawu,VI,
,denttettiya,VC,
,dumma,ADJ,
,dumma,ADJ,
,sintta,NN,
,qofati,NP,
,de7oosona,VV,
,.,PUN,
,..,..,
Sentence: 31,Xuufiya,NN,
,nabbabo,ADJCP,
,poluwan,NP,
,ha,ADJ,
,sintta,NN,
,qofadan,NP,
,xeelleettees,VV,
,woykko,CJ,
,nabbabuwa,NN,
,sintta,ADJ,
,qofa,NN,
,giidi,VC,
,xeegeettees,VC,
,.,PUN,
,..,..,
Sentence: 32,Nabbabuwa,NN,
,sintta,ADJ,
,qofay,NP,
,issi,ADJ,
,uray,NP,
,issi,AN,
,nibaabiya,NN,
,woykko,CJ,
,xuufiya,NN,
,nabbabanaappe,VC,
,kasetidi,VC,
,taani,PP,
,hagaa,ADJ,
,xuufiya,NN,
,nabbabada,VI,
,aybaa,WHP,
,demmanee,RV,
,?,PUN,
,..,..,
Sentence: 33,woykko,CJ,
,taani,PP,
,hagaa,ADJ,
,xuufiya,NN,
,nabbabanaadan,VC,
,denttettida,VC,
,gaasoy,NP,
,aybee,WHP,
,aybee,WHP,
,?,PUN,
,..,..,
Sentence: 34,giidi,VC,
,barina,NN,
,oychchidi,VC,
,zaaruwa,NN,
,demmanaadan,VC,
,oottiya,VC,
,miishsha,NN,
,woykko,CJ,
,zaaruwa,NN,
,demmiyogaa,NV,
,.,PUN,
,..,..,
Sentence: 35,Hegaappe,ADV,
,denddidaagan,VC,
,nabbabuwassi,NP,
,nabbabo,ADJCP,
,miishshatu,NP,
,qommuwa,NN,
,dummatettaadan,VC,
,dumma,ADJ,
,dumma,ADJ,
,sintta,ADJ,
,qofay,NP,
,de7anawu,VI,
,danddayikkonne,VC,
,xaaxi-waaxuwan,ADV,
,xeelliyo,VC,
,wode,ADV,
,naa77u,AN,
,gita,ADJ,
,sintta,ADJ,
,qofati,NP,
,de7oosona,VV,
,.,PUN,
,..,..,
Sentence: 36,Hegeetikka,ADJCP,
,eraa,NN,
,demmiyogaanne,VC,
,huuphiya,NN,
,pashkkissiyoogaa,VV,
,.,PUN,
,..,..,
Sentence: 37,Timirtte,ADJ,
,keettan,NP,
,hachchi,ADV,
,hachchi,ADV,
,poliyo,VC,
,tamaaro,VC,
,tamaarisso,VC,
,oosuwa,NN,
,kaafiiddi,VC,
,eran,NP,
,gixissiya,VC,
,dumma,ADJ,
,dumma,ADJ,
,maxaafata,NN,
,nabbabeettees,VV,
,.,PUN,
,..,..,
Sentence: 37,Hagee,PP,
,ubbay,ADJCP,
,polettiyoy,VC,
,eraa,NN,
,woykko,CJ,
,ooratta,ADJ,
,qofaanne,NC,
,naqaashaa,NN,
,koshshaassa,VV,
,.,PUN,
,..,..,
Sentence: 38,Hagaa,ADJ,
,mala,NN,
,nabbabo,VC,
,miishshatu,NP,
,qommuwa,NN,
,sintta,ADJ,
,qofay,NP,
,eraa,NN,
,demmiyogaa,VV,
,.,PUN,
,..,..,
Sentence: 39,Ha,ADJ,
,nabbabuwassi,NP,
,tamaariyo,ADJCP,
,maxaafaa,NN,
,",",PUN,
,tamaarissiyo,ADJCP,
,maxaafaa,NN,
,",",PUN,
,xombbe,ADJ,
,maxaafaanne,NC,
,hegaanne,PPC,
,hegaa,PP,
,malatiyabati,VC,
,leemiso,VC,
,gidana,VC,
,danddayoosona,VV,
,.,PUN,
,..,..,
Sentence: 40,Hara,ADJ,
,baggaara,NP,
,qassi,ADV,
,darotoo,ADV,
,oosuwan,NP,
,xalalidi,VC,
,salettida,ADJ,
,huuphee,NN,
,",",PUN,
,kayyuwan,NP,
,un77ettidi,VC,
,shabbirettida,ADJ,
,guuggee,NN,
,",",PUN,
,woykko,CJ,
,qofan,NP,
,woraajjettidi,VC,
,woppay,NP,
,haakkido,VC,
,kahay,NP,
,beettiya,ADJ,
,ufayssiya,NN,
,naqaashan,NP,
,dubbanaadaaninne,ADJCP,
,pashkki,RV,
,giidi,VC,
,miidobaa,VC,
,uyidobaa,VC,
,suure,ADJ,
,ashuwan,NP,
,suuttan,NP,
,gujjaanawu,VI,
,nabbabettiya,ADJ,
,miishshati,NP,
,xuufeti,NP,
,de7oosona,VV,
,.,PUN,
,..,..,
Sentence: 41,He,ADJ,
,nabbabo,ADJCP,
,miishshata,NN,
,nabbabiyo,VC,
,sintta,ADJ,
,qofay,NP,
,huuphiya,NN,
,pashkkisso,VC,
,geetettees,VV,
,.,PUN,
,..,..,
Sentence: 42,Hegeetussi,PPC,
,leemiso,ADJ,
,gidana,NN,
,danddayiyagee,VC,
,gaazeexaa,NN,
,",",PUN,
,metseetiya,NN,
,",",PUN,
,qantta,ADJ,
,xuufiya,NN,
,woraqataa,NN,
,",",PUN,
,danttuwa,NN,
,",",PUN,
,mehdhi,ADJ,
,xaafuwanne,NC,
,h.h.m.,NV,
,.,PUN,
,..,..,
Sentence: 43,Danttuwa,NN,
,nabbabiya,ADJ,
,uray,NP,
,danttoy,NP,
,yootiyo,VC,
,kiitan,NP,
,maalaalettiiddi,VC,
,I,PP,
,xaafettido,VC,
,zugiyan,NP,
,ufayttiiddi,VC,
,nabbabuwa,NN,
,sinttawu,ADV,
,sugees,VV,
,.,PUN,
,..,..,
Sentence: 44,Medhdhi,ADJ,
,xaafoykka,NP,
,asaa,ADJ,
,naatu,NP,
,galla-galla,ADJ,
,duussaa,NN,
,hemetaanne,NC,
,hemetan,NP,
,merettiya,VC,
,gelaanne,NC,
,kessaa,NN,
,bessiyo,VC,
,gishshawu,CJ,
,bari,ADJ,
,de7uwa,NN,
,heregan,NP,
,xeelliyogaadan,VC,
,be7iiddi,VC,
,woykko,CJ,
,qoppiiddi,VC,
,nabbabiya,ADJ,
,uray,NP,
,kase,ADJ,
,huuphe,ADJ,
,giddon,POP,
,de7iya,VC,
,kayyuwanne,NC,
,un77uwa,NN,
,guyye,POP,
,hassayenna,VV,
,.,PUN,
,..,..,
Sentence: 45,Nabbabo,ADJCP,
,miishshatu,NP,
,qommuwakka,NP,
,sintta,ADJ,
,qofay,NP,
,bessana,VC,
,danddayees,VV,
,.,PUN,
,..,..,
Sentence: 46,Hegaassi,ADV,
,qonccettay,NP,
,daroban,ADV,
,malaatettees,VV,
,.,PUN,
,..,..,
Sentence: 47,Issi,ADJ,
,uray,NP,
,bari,ADJ,
,nabbabiyobaappe,NP,
,adussa,ADJ,
,so-oosuwa,NN,
,zaaruwa,NN,
,koyyiyaba,VC,
,gidikko,ADV,
,",",PUN,
,kifile,ADJ,
,giddon,POP,
,asttamaaree,NP,
,tamaarissiyo,VC,
,gomppawu,VI,
,maado,VC,
,naqaashaa,NN,
,koyyiyaba,VC,
,gidikko,ADV,
,",",PUN,
,kifiliyan,NP,
,asttamaariya,NN,
,oychchidi,VC,
,aliya,ADJ,
,zaaruwa,NN,
,demmibeennabaa,VC,
,aassanawu,VI,
,naqaashaa,NN,
,kiyyiyaba,VC,
,gidikko,ADV,
,h.h.m.,NN,
,eraa,NN,
,demmanawu,VI,
,nabbabiyo,VC,
,nabbabo,NP,
,gidees,VV,
,.,PUN,
,..,..,
Sentence: 48,Hara,ADJ,
,baggaara,NP,
,bariyyo,ADJCP,
,de7iya,VC,
,palaha,ADJ,
,wodiyan,NP,
,huuphiya,NN,
,ufayssiya,ADJ,
,naqaashaa,NN,
,koyyiyba,VC,
,gidikkonne,ADV,
,qofissiyaba,VC,
,lalidi,VC,
,kahaa,NN,
,woppissidi,VC,
,wodiya,NN,
,aattanawu,VI,
,nabbabiko,VC,
,he,ADJ,
,nabbabuwa,NN,
,sintta,ADJ,
,qofa,NN,
,huuphe,ADJ,
,pashkkisso,ADJ,
,nabbabo,NP,
,geettees,VV,
,.,PUN,
,..,..,
Sentence: 49,Hegaassa,ADV,
,nuuni,PP,
,ekkidi,VC,
,denddiyo,VC,
,nabbabo,ADJ,
,sintta,ADJ,
,qofay,NP,
,nabbabiyo,ADJCP,
,miishshata,NN,
,/,PUN,
,ogiya,NN,
,bessees,VV,
,woykko,CJ,
,malaatees,VV,
,giyoogee,VV,
,.,PUN,
,..,..,
Sentence: 50,Kifile,ADJ,
,giddon,POP,
,tamaariyonne,VC,
,tamaarissiyo,VC,
,hemetan,NP,
,maaddiyagaa,NN,
,gididi,VC,
,xaafanachchaa,NN,
,qofaa,NN,
,woykko,CJ,
,kiitaa,NN,
,loyttidi,ADV,
,zazzari,VC,
,xeellanawunne,VC,
,miccidi,VC,
,paattanawu,VI,
,beettiya,ADJ,
,murutan,ADJCP,
,nashshanawu,VI,
,woykko,CJ,
,boranawunne,VC,
,mintetto,ADJCP,
,qofaa,NN,
,wottanawu,VI,
,qassikka,ADV,
,issibaappe,ADV,
,denddidi,VC,
,menttuwabaa,NP,
,woykko,CJ,
,mule,ADJ,
,xuufiyabaa,NP,
,pilggi,VC,
,xeeluwan,ADV,
,polettiya,VC,
,nabbabo,ADJCP,
,qommoy,NP,
,wuda,NN,
,nabbabo,NP,
,geetettees,VV,
,.,PUN,
,..,..,
Sentence: 51,Tamaareti,NP,
,doonaa,NN,
,tamaaranawu,VI,
,ha,ADJ,
,nabbabo,NP,
,qommoy,NP,
,wogga,ADJ,
,beera,NN,
,kaa7ees,VV,
,.,PUN,
,..,..,
Sentence: 52,Nabbabo,ADJ,
,timirttiyakka,NP,
,hegaadan,POP,
,dichchees,VV,
,.,PUN,
,..,..,
Sentence: 53,Ha,ADJ,
,nabbabuwan,NP,
,nabbabiyaageeti,NP,
,darobaa,ADV,
,piqqidi,VC,
,karchchi,VC,
,laalidi,VC,
,",",PUN,
,poqqi,VC,
,xeellidi,VC,
,phalqqi,VC,
,pilggidi,VC,
,issi-issi,ADJ,
,qaalay,NP,
,",",PUN,
,paca,ADJ,
,qofa,NN,
,qashoy,NP,
,",",PUN,
,qofa,NN,
,qashoynne,NC,
,menttoy,NP,
,ayba,WHP,
,oyqqidaakko,VC,
,woykko,CJ,
,aybaabaa,WHP,
,yootiyakko,VC,
,",",PUN,
,qaalay,NP,
,qaalaara,NP,
,",",PUN,
,qofa,NN,
,qashoy,NP,
,qofa,NN,
,qashuwaranne,NC,
,menttoy,NP,
,menttuwara,NP,
,waanidi,WHP,
,oyqettidaakko,VC,
,dirssatee,NN,
,oyqqido,RV,
,kiitaa,NN,
,giddo,POP,
,dabbotettay,NP,
,woykko,CJ,
,gogettay,NP,
,ayba,WHP,
,malakko,NP,
,shiishshi,VC,
,maarayidi,VC,
,harqqidi,VC,
,gita,ADJ,
,kiittaa,NN,
,kessoosona,VV,
,.,PUN,
,..,..,
Sentence: 54,Ha,ADJ,
,nabbabo,NP,
,qommoy,NP,
,ubba,ADJ,
,qommo,NN,
,oyshatun,NP,
,nabbabiyagee,NV,
,kiita,NN,
,suure,ADV,
,akeekidoogaa,NV,
,yigganawu,VI,
,danddayeesishin,VC,
,ha77i,ADV,
,nuuni,PP,
,ha,ADJ,
,qomuwa,NN,
,leemisuwan,NP,
,loyttidi,VC,
,akeekanawu,VI,
,walakkennan,VI,
,be7ana,VV,
,.,PUN,
,..,..,
Sentence: 55,Hagaappe,ADV,
,amarida,ADJ,
,eeshshaa,NN,
,kaallidi,VC,
,imettida,VC,
,nibaabiyappe,NP,
,kiyida,ADJ,
,leemiso,ADJ,
,oyshatun,NP,
,xeellanawu,VI,
,danddayettees,VV,
,.,PUN,
,..,..,
Sentence: 56,1900,AN,
,biidi,VC,
,1920,AN,
,layttatu,NP,
,giddon,POP,
,gaazeexay,NP,
,zal77ettanaadan,VI,
,issi,AN,
,maayettido,VC,
,maachchay,NP,
,polettiis,VV,
,.,PUN,
,..,..,
Sentence: 57,Hegaappe,ADV,
,simmin,ADV,
,ha,ADJ,
,gaazeexxaa,NN,
,zal77iyappe,NP,
,daro,ADJ,
,woree,NN,
,beettiis,VV,
,.,PUN,
,..,,
Sentence: 58,Koyruwan,ADV,
,ha,ADJ,
,gaazeexaa,NN,
,sohuwara,ADV,
,maattamidi,VC,
,maashiniya,NN,
,tekinooloojje,NP,
,giigin,VC,
,issi,ADJ,
,kutta,ADV,
,cora,ADJ,
,woraqataa,NN,
,maattamoy,VC,
,doomettiis,VV,
,.,PUN,
,..,..,
Sentence: 59,Naa77anttuwan,ADV,
,bantta,ADJ,
,oottiyo,NP,
,kushe,ADJ,
,hiillaa,NN,
,woykko,CJ,
,zal77iyogan,NP,
,woriya,NN,
,demmanawu,VI,
,gaazeexan,NP,
,bantta,ADJ,
,ooso,ADJ,
,qaattaa,NN,
,erissiya,VC,
,zal77anchchatu,NP,
,qooday,NP,
,keehi,ADV,
,gujji,VC,
,gujji,VC,
,biis,VV,
,.,PUN,
,..,..,
Sentence: 60,Kuushsha,ADJ,
,yo7uwa,NN,
,ayfe,ADJ,
,yo7uwa,NN,
,qonccissiya,VC,
,paca,ADJ,
,qofa,NN,
,qashuwa,NN,
,woykko,CJ,
,qofa,NN,
,qashuwa,NN,
,koyro,ADJ,
,sinttan,ADV,
,maattamiyogaa,NV,
,.,PUN,
,..,..,
Sentence: 61,Coranne,NP,
,xeellanawu,VI,
,lo77iya,ADJ,
,misiletanne,NC,
,pootota,NN,
,oyqqees,VV,
,.,PUN,
,..,..,
Sentence: 62,Cimo,ADJ,
,oysha,NN,
,cimmiya,ADJ,
,ayfe,ADJ,
,yo7uwanne,NC,
,worddo,ADJ,
,luxobata,NP,
,go77ettiyogaa,VV,
,.,PUN,
,..,..,
Sentence: 63,Daroti,ADJCP,
,hirggissiya,ADJ,
,oduwa,NN,
,ha,ADJ,
,gaazeexan,NP,
,kessoosona,VV,
,.,PUN,
,..,..,
Sentence: 64,Iita,ADJ,
,wogaa,NN,
,yedhdhi,ADV,
,aadhdhennan,VC,
,kaashshi,VC,
,laaliyo,VC,
,wode,ADV,
,he,ADJ,
,wogaawati,NP,
,ooni,WHP,
,O,ADJ,
,wogaa,NN,
,toochchi,VC,
,giyogaa,NV,
,naa77u,AN,
,yaratu,NP,
,giddon,POP,
,kombbaasuwa,NN,
,denttees,VV,
,.,PUN,
,..,..,
Sentence: 65,Toophphiyan,NP,
,miide,NN,
,zammaana,ADJ,
,ogiyan,NP,
,eqoosappe,VC,
,141,AN,
,layttay,NP,
,adhdhiis,VV,
,.,PUN,
,..,..,
Sentence: 66,Afirikan,NP,
,bari,ADJ,
,xaafuwa,NN,
,bilaa,NN,
,dichchiya,RV,
,qoodan,NP,
,keehi,ADV,
,guutta,ADJ,
,biitatuppe,NP,
,nu,ADJ,
,Toophphee,NN,
,issuwa,AN,
,.,PUN,
,..,..,
Sentence: 67,Afrikkaa,NN,
,bila,ADJ,
,xifatee,NN,
,heezzu,AN,
,qommuwan,NP,
,shaahettees,VV,
,.,PUN,
,..,..,
Sentence: 68,Issi-issi,ADJ,
,qommuwassikka,NP,
,bana,PP,
,daanddayida,VC,
,eeshshay,NP,
,de7ees,VV,
,.,PUN,
,..,..,
Sentence: 69,Koyroy,ADJCP,
,haasayettida,VC,
,hayyo,ADJ,
,xaafo,ADJ,
,bilaa,NN,
,",",PUN,
,ha,ADJ,
,bilaa,NN,
,qommoy,NP,
,daro,ADJ,
,wodiyappe,NP,
,doommidi,VC,
,Afrikkaa,NN,
,biittan,NP,
,erettida,VC,
,bila,NN,
,ooso,NV,
,.,PUN,
,..,..,
Sentence: 70,Ayssi-giikko,CJ,
,xaafettida,VC,
,bila,ADJ,
,xifatee,NN,
,mata,ADJ,
,wode,ADV,
,doommida,VC,
,bila,ADJ,
,ooso,NP,
,gidiyo,VC,
,gishshawu,VI,
,.,PUN,
,..,..,
Sentence: 71,Ikka,PP,
,qassi,ADV,
,daro,ADJ,
,shaa7u,ADJCP,
,doonatun,NP,
,de7yaaba,VV,
,.,PUN,
,..,..,
Sentence: 73,Naa7anttoy,AN,
,xaafettida,VC,
,bila,ADJ,
